"rep","mode","conv","nll","secs","alpha0_2","alpha0_3","alpha0_4","alpha0_5","alpha1_1","alpha1_2","og_E","log_c_bar","K_mean"
62,"zK",0,3008.0598909454,133.54364991188,-0.583768814099373,-0.840618005286089,0.45860323877971,0.775368464242624,1.57766701260332,-0.995229006643693,2.53096433617747,-0.628422318042206,1.573
62,"znext",0,2940.20142390011,136.846165180206,-0.61203816368034,-0.886650347635488,0.45581774251466,0.78571557098835,1.62305348640431,-1.01020136256711,2.59734177092096,-0.527376502334851,1.573
63,"zK",0,3103.66271344365,131.364320039749,-0.527469972508474,-0.815792772373911,0.479257007885192,0.761864993415473,1.50681822874483,-0.963923611671259,2.48968085955615,-0.679746912929612,1.599
63,"znext",0,3016.24564399867,135.27579498291,-0.551835423612633,-0.866978237946252,0.485506875234278,0.782577796128909,1.54777204335207,-0.985034700692617,2.55586105893994,-0.546543234728707,1.599
64,"zK",0,3133.64019899995,126.976418972015,-0.541817531761411,-0.757152697335576,0.467464216757044,0.758833699082584,1.54098191609487,-1.1050695728858,2.64873825816657,-0.644408178074132,1.603
64,"znext",0,3062.17414796665,130.094852209091,-0.561541343100534,-0.771851933792355,0.482925465491757,0.778375370684673,1.59185103940381,-1.13706971582766,2.75257274421514,-0.544624944610169,1.603
65,"zK",0,3032.52038318802,129.679590940475,-0.394033905764922,-0.821697809234089,0.609947492848918,0.910645556655638,1.52425396658924,-1.05330821627069,2.65999125110337,-0.649564392314188,1.58
65,"znext",0,2952.13778632553,132.23979306221,-0.404494180999037,-0.868362539674502,0.633640056802806,0.938072665843705,1.57946671425473,-1.1028790880101,2.78923711085408,-0.533921754722965,1.58
66,"zK",0,3138.02325303646,134.712766170502,-0.581229355121829,-0.805240841014022,0.516310874538165,0.720996730208504,1.46113828986942,-1.08681088883244,2.53989046910218,-0.699090259943722,1.611
66,"znext",0,3053.13752698598,135.808614969254,-0.590579410412138,-0.849206109486643,0.53531878228276,0.744668160507745,1.51467751344867,-1.15298378714121,2.68115191439177,-0.574087220712933,1.611
67,"zK",0,3171.91161590063,136.64234995842,-0.460237603419516,-0.743583517495534,0.459311859578667,0.813062933001484,1.47190556338156,-1.12746702721758,2.56664033246218,-0.693210222698389,1.623
67,"znext",0,3069.85446055683,131.526976108551,-0.458692436106528,-0.778615281815236,0.490384569725601,0.846544511619427,1.53965092677702,-1.15743140632905,2.69361509483718,-0.538831710604383,1.623
68,"zK",0,3101.69556630815,111.934921979904,-0.607177594884267,-0.802285242250904,0.580027586269564,0.812429708057957,1.51806593168233,-1.03509648152152,2.64715607857384,-0.7074707735743,1.604
68,"znext",0,3028.04469096394,109.178639173508,-0.640103714234741,-0.843895046969968,0.600893059916003,0.827767558846501,1.56336500320547,-1.05870932874118,2.72765794355421,-0.59918182577524,1.604
69,"zK",0,3174.38762971076,132.301827907562,-0.426726990219012,-0.834502528797796,0.445636090218531,0.763651391497202,1.46911224220832,-1.09019178238606,2.63209472600718,-0.694190731852466,1.611
69,"znext",0,3104.45461860647,131.883846998215,-0.443881033013534,-0.851414912510462,0.464899113405426,0.792629453992179,1.50500800904926,-1.11455237543306,2.70828561042917,-0.586003417433636,1.611
70,"zK",0,3031.7930402816,137.801676988602,-0.49423848639728,-0.782252513036791,0.528207273209106,0.821683781666447,1.5009787440517,-1.03618294642844,2.4000476577147,-0.607650321520366,1.589
70,"znext",0,2943.58494525254,136.841280937195,-0.512446336487306,-0.831569968964416,0.548071751092987,0.849216004170791,1.54114454924335,-1.07424968986445,2.48906355835168,-0.486463885458236,1.589
71,"zK",0,3123.6862192475,136.799381971359,-0.489526536544238,-0.911092221776771,0.388793686087249,0.725191278369274,1.56158576957925,-1.09592708081919,2.74936546333205,-0.70754720263435,1.607
71,"znext",0,3050.19455366784,134.943464040756,-0.513649432550468,-0.954128794822851,0.391553886304711,0.737220710592777,1.60498063915353,-1.10479064633709,2.80838672440643,-0.595459675160301,1.607
72,"zK",0,3104.50612443585,133.66622710228,-0.450972772972987,-0.93918599324174,0.441408450915159,0.78307478823955,1.41755603923936,-0.909997536229604,2.27397315487312,-0.670696602295326,1.595
